expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
125,4,7,9,2,2,85,0,1,2,0,0,5,7,11,9,9,3,2,3,2,1,40,21,13,0,10,9,0,0,1,1,3,0,0,0,1,3,5,43,44,0,2,0
126,31,13,12,5,38,0,0,0,15,0,23,5,4,3,71,5,3,3,4,0,0,0,10,4,10,3,0,6,0,13,15,6,12,1,13,14,5,1,5,4,2,7,3
127,15,8,5,18,28,13,0,0,1,17,6,49,4,0,0,22,47,24,2,0,0,1,1,6,23,77,14,1,8,0,0,2,2,6,4,4,33,0,7,8,0,0,171
128,5,9,43,0,2,1,10,10,3,6,21,0,31,5,0,11,0,0,4,0,3,4,6,0,1,4,2,24,1,1,7,1,0,2,8,0,0,148,3,0,1,1,0
129,17,12,10,17,6,37,2,1,8,9,10,4,1,51,6,96,8,20,0,0,9,2,0,13,0,9,4,0,4,10,18,20,52,1,2,11,1,19,0,27,2,1,22
130,17,8,15,8,1,7,2,4,6,17,17,1,0,0,14,12,6,8,1,14,15,2,4,5,65,0,12,36,243,0,0,113,0,2,15,3,2,0,13,0,14,14,6
131,7,8,6,5,0,8,6,16,59,17,12,0,22,6,8,9,9,1,8,11,15,72,1,2,0,6,21,9,4,44,1,0,0,1,0,75,0,0,18,19,11,4,1
132,22,11,20,0,0,8,1,3,3,0,21,7,0,2,0,7,2,1,0,0,3,0,2,0,0,51,1,1,6,43,8,0,21,27,0,4,14,0,0,2,0,1,2
133,8,13,10,23,0,2,0,17,1,0,1,41,0,8,3,0,4,2,0,7,0,0,9,0,3,32,9,6,0,1,8,17,59,0,1,43,42,22,10,1,5,413,3
134,3,6,7,8,1,106,18,1,14,6,0,2,33,0,5,1,1,0,0,5,3,29,10,0,2,5,0,12,0,38,15,13,1,2,25,1,1,2,2,16,5,7,2
135,9,21,26,6,12,0,0,66,32,0,12,3,8,1,0,0,0,1,2,0,8,3,40,3,82,0,3,11,11,1,8,0,0,0,6,40,1,25,0,0,19,0,22
136,1,14,5,10,1,0,4,1,1,10,67,0,3,0,0,1,15,1,0,214,0,8,2,0,12,1,20,0,6,0,1,10,59,9,14,1,18,0,12,0,0,0,4
137,6,19,6,4,5,60,13,0,4,1,18,1,5,0,0,5,1,8,14,8,10,0,0,0,0,6,49,0,6,0,0,1,4,18,58,0,1,4,2,1,0,1,100
138,13,11,7,121,0,0,94,19,1,25,9,7,1,0,1,1,5,7,0,4,1,7,11,1,28,8,9,4,1,1,0,0,0,1,0,25,1,0,56,0,0,64,0
139,8,5,4,0,0,0,12,8,0,0,0,0,1,4,14,0,1,0,49,15,1,32,0,11,46,5,0,1,0,1,14,1,0,1,0,15,13,6,0,5,10,2,0
140,9,23,7,19,9,4,8,85,1,1,17,0,0,0,0,0,1,27,0,5,10,0,0,1,12,5,10,63,8,175,9,17,3,5,1,0,1,2,11,2,5,2,13
